match_no,stage,group_name,date_et,home_team,away_team,home_team_zh,away_team_zh,raw_home_expected_goals,raw_away_expected_goals,home_expected_goals,away_expected_goals,home_lineup_goal_factor,away_lineup_goal_factor,home_lineup_log_adjustment,away_lineup_log_adjustment,home_lineup_status,away_lineup_status,home_formation,away_formation,group_match_round,group_opener_mismatch_adjustment_applied,group_opener_favorite_team,group_opener_favorite_elo_edge,home_group_opener_log_adjustment,away_group_opener_log_adjustment,has_market_outcome_constraint,market_home_win_probability,market_draw_probability,market_away_win_probability,has_market_total_goals_constraint,dixon_coles_rho,score_home_win_probability,score_draw_probability,score_away_win_probability,over_2_5_probability,under_2_5_probability,both_teams_score_probability,clean_sheet_home_probability,clean_sheet_away_probability,scoreline_rank,scoreline,scoreline_probability
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,5,1-1,0.08833797838665698
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,6,1-3,0.06997851133536906
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,7,0-0,0.053922572415538716
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,8,0-4,0.04974996552536908
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,9,1-4,0.038318133014972194
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,10,2-2,0.03691202594565552
13,Group Stage,Group C,2026-06-13,Brazil,Morocco,巴西,摩洛哥,1.8100907942257343,1.1014405935894025,1.8173456574559492,1.1058551792489666,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-2-3-1,4-3-3,1,False,,88.7837903059592,0.0,0.0,True,0.5865165445394607,0.24947605133931985,0.16400740412121953,True,-0.0475,0.5424537177182095,0.24767297902303131,0.2098733032587593,0.5347344238599843,0.46526557614001574,0.5464430078063616,0.35228636427429083,0.16785878688470154,1,1-1,0.11658327185009285
13,Group Stage,Group C,2026-06-13,Brazil,Morocco,巴西,摩洛哥,1.8100907942257343,1.1014405935894025,1.8173456574559492,1.1058551792489666,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-2-3-1,4-3-3,1,False,,88.7837903059592,0.0,0.0,True,0.5865165445394607,0.24947605133931985,0.16400740412121953,True,-0.0475,0.5424537177182095,0.24767297902303131,0.2098733032587593,0.5347344238599843,0.46526557614001574,0.5464430078063616,0.35228636427429083,0.16785878688470154,2,1-0,0.10301970417845671
13,Group Stage,Group C,2026-06-13,Brazil,Morocco,巴西,摩洛哥,1.8100907942257343,1.1014405935894025,1.8173456574559492,1.1058551792489666,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-2-3-1,4-3-3,1,False,,88.7837903059592,0.0,0.0,True,0.5865165445394607,0.24947605133931985,0.16400740412121953,True,-0.0475,0.5424537177182095,0.24767297902303131,0.2098733032587593,0.5347344238599843,0.46526557614001574,0.5464430078063616,0.35228636427429083,0.16785878688470154,3,2-1,0.10042283338160123
13,Group Stage,Group C,2026-06-13,Brazil,Morocco,巴西,摩洛哥,1.8100907942257343,1.1014405935894025,1.8173456574559492,1.1058551792489666,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-2-3-1,4-3-3,1,False,,88.7837903059592,0.0,0.0,True,0.5865165445394607,0.24947605133931985,0.16400740412121953,True,-0.0475,0.5424537177182095,0.24767297902303131,0.2098733032587593,0.5347344238599843,0.46526557614001574,0.5464430078063616,0.35228636427429083,0.16785878688470154,4,2-0,0.09277364879284701
