home,away,date,scoreline,odds,market_implied,model_prob,edge,market_home,elo_home,xG_home,xG_away
荷兰,摩洛哥,06-30 09:00,5:2,150.0,0.0048,0.001,-0.0038,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:4,150.0,0.0048,0.0068,0.002,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:4,150.0,0.0048,0.0039,-0.0009,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,5:0,160.0,0.0045,0.0018,-0.0027,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:4,200.0,0.0036,0.0059,0.0023,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:5,500.0,0.0014,0.0013,-0.0002,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:5,500.0,0.0014,0.0015,0.0,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:5,500.0,0.0014,0.0008,-0.0006,0.48,0.5251,1.14,1.07
科特迪瓦,挪威,07-01 01:00,1:2,6.25,0.1157,0.0773,-0.0384,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,1:1,6.4,0.113,0.0,-0.113,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:1,7.25,0.0998,0.1269,0.0271,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:2,8.5,0.0851,0.0734,-0.0117,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:1,11.5,0.0629,0.0704,0.0075,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,1:0,12.0,0.0603,0.1155,0.0552,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:0,12.0,0.0603,0.0,-0.0603,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,1:3,12.0,0.0603,0.0298,-0.0305,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:2,12.5,0.0579,0.0,-0.0579,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:3,16.5,0.0438,0.0283,-0.0155,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:0,20.0,0.0362,0.0608,0.0247,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:3,21.0,0.0344,0.0157,-0.0187,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,1:4,30.0,0.0241,0.0086,-0.0155,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,3:1,31.0,0.0233,0.0247,0.0014,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,3:2,37.0,0.0196,0.0143,-0.0053,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:4,38.0,0.019,0.0082,-0.0108,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,3:3,45.0,0.0161,0.0,-0.0161,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:4,50.0,0.0145,0.0045,-0.0099,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,3:0,60.0,0.0121,0.0214,0.0093,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,1:5,95.0,0.0076,0.002,-0.0056,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,0:5,100.0,0.0072,0.0019,-0.0053,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,4:1,110.0,0.0066,0.0065,-0.0001,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,2:5,125.0,0.0058,0.0011,-0.0047,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,4:2,135.0,0.0054,0.0038,-0.0016,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,4:0,175.0,0.0041,0.0056,0.0015,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,5:2,350.0,0.0021,0.0008,-0.0013,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,5:0,500.0,0.0014,0.0012,-0.0003,0.14,0.4649,1.05,1.16
科特迪瓦,挪威,07-01 01:00,5:1,500.0,0.0014,0.0014,-0.0001,0.14,0.4649,1.05,1.16
法国,瑞典,07-01 05:00,2:0,7.0,0.1062,0.1382,0.032,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,2:1,7.0,0.1062,0.0861,-0.0201,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:0,8.0,0.0929,0.1741,0.0812,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,3:0,8.0,0.0929,0.0731,-0.0198,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,3:1,8.0,0.0929,0.0455,-0.0474,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:1,9.5,0.0782,0.0,-0.0782,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,4:0,14.0,0.0531,0.029,-0.0241,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,4:1,14.0,0.0531,0.0181,-0.035,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,2:2,15.5,0.048,0.0,-0.048,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,3:2,20.0,0.0372,0.0142,-0.023,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:0,21.0,0.0354,0.0,-0.0354,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:2,25.0,0.0297,0.0338,0.004,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:1,28.0,0.0265,0.0683,0.0418,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,5:0,30.0,0.0248,0.0092,-0.0156,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,5:1,30.0,0.0248,0.0057,-0.019,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,4:2,32.0,0.0232,0.0056,-0.0176,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,2:3,55.0,0.0135,0.0056,-0.008,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,5:2,60.0,0.0124,0.0018,-0.0106,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,3:3,60.0,0.0124,0.0,-0.0124,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:2,70.0,0.0106,0.0213,0.0106,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:3,70.0,0.0106,0.007,-0.0036,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:3,150.0,0.005,0.0044,-0.0005,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:4,300.0,0.0025,0.0011,-0.0014,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,2:4,300.0,0.0025,0.0009,-0.0016,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:4,500.0,0.0015,0.0007,-0.0008,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,1:5,500.0,0.0015,0.0001,-0.0014,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,2:5,500.0,0.0015,0.0001,-0.0014,0.85,0.7869,1.59,0.62
法国,瑞典,07-01 05:00,0:5,800.0,0.0009,0.0001,-0.0008,0.85,0.7869,1.59,0.62
墨西哥,厄瓜多尔,07-01 09:00,1:0,5.0,0.1428,0.1177,-0.0251,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,1:1,5.1,0.14,0.0,-0.14,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:0,6.0,0.119,0.0,-0.119,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:0,7.5,0.0952,0.0631,-0.032,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:1,7.5,0.0952,0.1247,0.0296,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:1,7.7,0.0927,0.0718,-0.0209,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,1:2,13.0,0.0549,0.0761,0.0212,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,3:0,18.0,0.0397,0.0226,-0.0171,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:2,18.0,0.0397,0.0,-0.0397,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:2,18.0,0.0397,0.0709,0.0313,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,3:1,20.0,0.0357,0.0257,-0.01,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,3:2,45.0,0.0159,0.0146,-0.0013,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,1:3,45.0,0.0159,0.0288,0.013,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,4:0,60.0,0.0119,0.0061,-0.0058,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:3,60.0,0.0119,0.0269,0.015,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,4:1,70.0,0.0102,0.0069,-0.0033,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:3,70.0,0.0102,0.0155,0.0053,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,3:3,120.0,0.0059,0.0,-0.0059,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,4:2,150.0,0.0048,0.0039,-0.0008,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,5:0,200.0,0.0036,0.0013,-0.0023,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,1:4,200.0,0.0036,0.0082,0.0046,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,5:1,250.0,0.0029,0.0015,-0.0014,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:4,300.0,0.0024,0.0076,0.0053,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:4,350.0,0.002,0.0044,0.0024,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,5:2,400.0,0.0018,0.0008,-0.0009,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,0:5,700.0,0.001,0.0017,0.0007,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,1:5,700.0,0.001,0.0019,0.0008,0.61,0.4782,1.07,1.14
墨西哥,厄瓜多尔,07-01 09:00,2:5,800.0,0.0009,0.001,0.0001,0.61,0.4782,1.07,1.14
英格兰,刚果民主共和国,07-02 00:00,2:0,4.7,0.1557,0.1419,-0.0138,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:0,5.3,0.1381,0.1764,0.0384,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,3:0,6.25,0.1171,0.0761,-0.041,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,2:1,7.75,0.0944,0.0854,-0.0091,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:1,9.5,0.077,0.0,-0.077,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,3:1,10.5,0.0697,0.0458,-0.0239,0.83,0.7964,1.61,0.6
