world_cup_year,backtest_stage,match_date,home_team,away_team,home_confederation,away_confederation,home_score,away_score,actual_outcome,predicted_outcome,top_probability,actual_outcome_probability,row_log_loss,confidence_bucket,confederation_pair,favorite_matchup_profile,is_high_confidence_miss
2018,group_stage,2018-06-16,Peru,Denmark,CONMEBOL,UEFA,0,1,away_win,home_win,0.4746271579234153,0.1990782470939634,1.6140573300638845,"(0.4, 0.6]",CONMEBOL_vs_UEFA,CONMEBOL_favorite_vs_UEFA,False
2018,group_stage,2018-06-25,Spain,Morocco,UEFA,CAF,2,2,draw,home_win,0.7012649592110758,0.2029704344693231,1.594694953555583,"(0.6, 0.8]",CAF_vs_UEFA,UEFA_favorite_vs_CAF,True
2022,group_stage,2022-11-25,England,United States,UEFA,CONCACAF,0,0,draw,home_win,0.5016976405998461,0.2042614703238599,1.5883543885624885,"(0.4, 0.6]",CONCACAF_vs_UEFA,UEFA_favorite_vs_CONCACAF,False
2022,knockout,2022-12-10,Morocco,Portugal,CAF,UEFA,1,0,home_win,away_win,0.5315539047552179,0.210658360207685,1.5575176036746485,"(0.4, 0.6]",CAF_vs_UEFA,UEFA_favorite_vs_CAF,False
2018,group_stage,2018-06-27,Switzerland,Costa Rica,UEFA,CONCACAF,2,2,draw,home_win,0.5585371259323706,0.2118438808122991,1.5519056868568313,"(0.4, 0.6]",CONCACAF_vs_UEFA,UEFA_favorite_vs_CONCACAF,False
2022,group_stage,2022-11-29,Ecuador,Senegal,CONMEBOL,CAF,1,2,away_win,home_win,0.4833763015001331,0.2157021856057412,1.533856593020182,"(0.4, 0.6]",CAF_vs_CONMEBOL,CONMEBOL_favorite_vs_CAF,False
2022,group_stage,2022-11-21,United States,Wales,CONCACAF,UEFA,1,1,draw,home_win,0.5169975384545761,0.2173165676751132,1.5264001512984096,"(0.4, 0.6]",CONCACAF_vs_UEFA,CONCACAF_favorite_vs_UEFA,False
2018,group_stage,2018-06-21,Argentina,Croatia,CONMEBOL,UEFA,0,3,away_win,home_win,0.4979709611638467,0.2200809956841013,1.5137596381843885,"(0.4, 0.6]",CONMEBOL_vs_UEFA,CONMEBOL_favorite_vs_UEFA,False
2022,group_stage,2022-11-22,Mexico,Poland,CONCACAF,UEFA,0,0,draw,home_win,0.5087932676682798,0.2238606153570295,1.4967316736771679,"(0.4, 0.6]",CONCACAF_vs_UEFA,CONCACAF_favorite_vs_UEFA,False
2018,knockout,2018-07-01,Russia,Spain,UEFA,UEFA,1,1,draw,away_win,0.5615541571669724,0.2251921036263238,1.490801447157623,"(0.4, 0.6]",UEFA_vs_UEFA,UEFA_favorite_vs_UEFA,False
2022,knockout,2022-12-06,Morocco,Spain,CAF,UEFA,0,0,draw,away_win,0.5685191832980637,0.240632327545387,1.424485122267072,"(0.4, 0.6]",CAF_vs_UEFA,UEFA_favorite_vs_CAF,False
2022,group_stage,2022-11-30,Australia,Denmark,AFC,UEFA,1,0,home_win,away_win,0.4911310033976362,0.2440623813576062,1.4103314250630519,"(0.4, 0.6]",AFC_vs_UEFA,UEFA_favorite_vs_AFC,False
2022,group_stage,2022-11-27,Spain,Germany,UEFA,UEFA,1,1,draw,home_win,0.4818374452997419,0.2445230060811416,1.4084458800924138,"(0.4, 0.6]",UEFA_vs_UEFA,UEFA_favorite_vs_UEFA,False
2018,group_stage,2018-06-17,Brazil,Switzerland,CONMEBOL,UEFA,1,1,draw,home_win,0.6582977282502636,0.2474044234125031,1.396730939585758,"(0.6, 0.8]",CONMEBOL_vs_UEFA,CONMEBOL_favorite_vs_UEFA,True
2018,group_stage,2018-06-25,Saudi Arabia,Egypt,AFC,CAF,2,1,home_win,away_win,0.4503672777955116,0.2478490362153049,1.394935443103688,"(0.4, 0.6]",AFC_vs_CAF,CAF_favorite_vs_AFC,False
