world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
combined,group_stage,favorite_matchup_profile,CAF_favorite_vs_UEFA,1,1.0,0.9145995755140444,0.5472809118618984,0.4006770348685958,0.4006770348685958,0.0,0.0
combined,group_stage,favorite_matchup_profile,CONCACAF_favorite_vs_AFC,2,1.0,0.7193512033969235,0.39675010996379967,0.4874726637009882,0.4874726637009882,0.0,0.0
combined,group_stage,favorite_matchup_profile,CONCACAF_favorite_vs_CAF,2,0.0,1.1825501748305216,0.7515702412516981,0.46651701776452764,0.3069757035968901,1.0,0.0
combined,group_stage,favorite_matchup_profile,CONCACAF_favorite_vs_UEFA,4,0.0,1.3389674004625847,0.8300551252614449,0.4642486304343045,0.26780036083885184,1.0,0.0
combined,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_AFC,6,0.5,1.3728413935710009,0.7810098298690065,0.5851851768302002,0.33961496077539866,0.5,0.3333333333333333
combined,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_CAF,6,0.6666666666666666,1.139134416336473,0.5980464071470021,0.6198905806111726,0.4410269982744885,0.3333333333333333,0.16666666666666666
combined,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,2,1.0,0.33453776628521764,0.1288884249691603,0.7194540183913299,0.7194540183913299,0.0,0.0
combined,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_UEFA,10,0.6,0.9304001924607839,0.5652831830377922,0.6040214771714,0.4542984380280558,0.4,0.2
combined,group_stage,favorite_matchup_profile,UEFA_favorite_vs_AFC,16,0.5625,1.068040250078854,0.6302268609092736,0.5123633153481485,0.3821775896376658,0.4375,0.125
combined,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CAF,15,0.5333333333333333,1.0025704472923802,0.5968531483863935,0.5431414627585269,0.4088139412351204,0.4666666666666667,0.13333333333333333
combined,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CONCACAF,9,0.6666666666666666,0.8101144314509108,0.4566988255834197,0.5973951991137236,0.4964964546985882,0.3333333333333333,0.0
combined,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CONMEBOL,3,0.6666666666666666,1.04427695230377,0.6323233862842382,0.40188897232406245,0.3552086239250671,0.3333333333333333,0.0
combined,group_stage,favorite_matchup_profile,UEFA_favorite_vs_UEFA,11,0.5454545454545454,0.9508313039973132,0.5644872437897032,0.49685690905040847,0.40837765827652234,0.45454545454545453,0.0
combined,knockout,same_confederation,False,20,0.55,0.9483497039469488,0.5632893165552467,0.5265789896684043,0.4238267078412302,0.45,0.05
combined,knockout,same_confederation,True,12,0.5,1.0071417676555738,0.6029238661966972,0.449616032909119,0.3797753967286665,0.5,0.0
combined,knockout,confederation_pair,AFC_vs_CONMEBOL,2,1.0,0.32018664876677005,0.11723446788117178,0.726075366718157,0.726075366718157,0.0,0.0
combined,knockout,confederation_pair,AFC_vs_UEFA,2,0.5,0.8797257931768052,0.5061435422117769,0.5082822569949877,0.44241665659426815,0.5,0.0
